CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,ON02_01,ON02_02,ON02_03,ON04,ON19_01,ON19_02,ON21,ON22,ON22_02,ON23,ON23_02,ON25,ON26,ON26_02,ON27_01,ON27_02,ON28_01,ON28_02,ON15_01,ON15_02,ON15_03,ON15_04,ON15_05,ON15,ON16,ON31,ON17,ON17s,ON08_03,ON08_04,ON08_05,ON08_05a,ON08_06,ON08_06a,ON09,ON29,ON30,ON10,ON18,ON13,ON13_08,ON14,ON14_08,ON12,K201_01,K201_02,K201_03,K202_01,K202_02,K203,K206,K207,K207_02,K208,K208_02,K209,K210,K210_02,K211_01,K211_02,K212_01,K212_02,K204_01,K204_02,K204_03,K204_04,K204_05,K204,K205,K213,CQ13,CQ02_01,CQ02_02,CQ01_01,CQ01_02,CQ01_03,CQ01_04,CQ01_05,CQ01_06,CQ01_07,CQ01_08,CQ01_09,CQ03_01,CQ04_01,CQ05_01,CQ10_01,CQ10_02,CQ11,W210_01,W210_02,W202_01,W202_02,W201_01,W201_02,W201_03,W201_04,W201_05,W201_06,W201_07,W201_08,W201_09,W203_01,W204_01,W205_01,W213,GR03_01,GR03_02,ON35_01,W310_01,W310_02,W302_01,W302_02,W301_01,W301_02,W301_03,W301_04,W301_05,W301_06,W301_07,W301_08,W301_09,W303_01,W304_01,W305_01,W313,
1760,UDSNMPZQM9,,V0-2,interview,16.01.24 11:48,1,0,9,9,0,0,1.12,21.06.19,2,4,2,20,120,1,1,,1,,4,1,,21:30,08:30,23:30,10:00,2,1,1,1,1,1,1,1,57,,4,4,7,1,4,1,1,1,2,5,3,7,,7,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,UDSNMPZQM9,türkisch,,,,,,,,,,,,,,,,,,
1761,SKXUT5APM6,,V0-2,interview,16.01.24 11:48,1,0,9,9,0,0,0.94,10.01.19,1,3,1,20,110,1,1,,1,,4,2,fussball,20:30,07:00,21:00,08:00,1,1,1,1,1,-1,-1,1,53,,2,3,12,1,5,1,1,1,2,2,2,4,,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,SKXUT5APM6,deutsch,,,,,,,,,,,,,,,,,,
1762,TKA99XBQW7,,V0-2,interview,16.01.24 11:48,1,0,9,9,0,0,0.58,14.04.19,2,1,1,21,111,1,1,,1,,4,2,Turnen,20:00,06:00,20:00,06:00,2,1,1,1,1,1,-1,1,54,,2,2,4,1,3,1,1,1,2,4,4,4,,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,TKA99XBQW7,Deutsch,,,,,,,,,,,,,,,,,,
1802,M6TULWKSK6,,Vx1-2,interview,19.01.24 10:11,1,0,3,3,0,0,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,M6TULWKSK6,,,,,,,,,,,,,,,,,,,
1804,EN4YQGCW2A,,Vx1-2,interview,19.01.24 10:21,1,0,3,3,0,0,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,EN4YQGCW2A,,,,,,,,,,,,,,,,,,,
1806,X48F9ZNF4L,,Vx1-2,interview,19.01.24 10:36,1,0,3,3,0,0,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,X48F9ZNF4L,,,,,,,,,,,,,,,,,,,
1807,86KRD4SMWZ,,Vx1-2,interview,19.01.24 10:51,1,0,3,3,0,0,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,86KRD4SMWZ,,,,,,,,,,,,,,,,,,,
1821,ZVBU9M31CS,,Vx1-2,interview,19.01.24 14:35,1,0,3,3,0,0,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,2,1,1,1,1,1,1,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,ZVBU9M31CS,,,,,,,,,,,,,,,,,,,
1856,9T35TEMSAS,,Vx1-2,interview,20.01.24 16:07,1,0,4,4,0,0,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,-1,1,1,1,1,2,1,1,3,1,1,2,1,04.08.17,2,2,18.09.20,3,-1,-1,1,1,1,1,2,1,1,3,1,1,1,1,1,MTB1,9T35TEMSAS,,,,,,,,,,,,,,,,,,,
1858,QFE54ZVSHT,,Vx1-2,interview,20.01.24 16:53,1,0,3,3,7,7,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,-9,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,QFE54ZVSHT,,,,,,,,,,,,,,,,,,,
1865,A3ER5WF9RA,,Vx1-2,interview,21.01.24 09:00,1,0,3,3,0,0,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,A3ER5WF9RA,,,,,,,,,,,,,,,,,,,
1866,M3HNN9Y7BD,,Vx1-2,interview,21.01.24 09:02,1,0,3,3,0,0,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,3,2,1,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,M3HNN9Y7BD,,,,,,,,,,,,,,,,,,,
1869,UUX8E1LZUH,,Vx1-2,interview,21.01.24 13:49,1,0,3,3,0,0,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,UUX8E1LZUH,,,,,,,,,,,,,,,,,,,
1885,MPHWBPTKDP,,Vx1-2,interview,22.01.24 10:58,1,0,3,3,0,0,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,2,1,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,MPHWBPTKDP,,,,,,,,,,,,,,,,,,,
1886,29CKTUVY2B,,V0-2,interview,22.01.24 11:30,1,0,9,9,0,0,0.57,01.10.18,1,2,2,18,114,1,1,,1,,3,2,Fußballtraining (1x Woche) und Flamenco (1x Woche),20:00,07:00,20:30,08:00,2,1,1,1,1,1,2,1,56,,2,2,7,1,5,1,1,1,2,4,4,4,,6,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,29CKTUVY2B,Deutsch und Spanisch,,,,,,,,,,,,,,,,,,
1887,1KGW5NWVQW,,V0-2,interview,22.01.24 11:30,0,0,0,1,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,1KGW5NWVQW,,,,,,,,,,,,,,,,,,,
1892,QSDPPCCPRM,,Vx1-2,interview,22.01.24 11:44,1,0,3,3,0,0,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,QSDPPCCPRM,,,,,,,,,,,,,,,,,,,
1893,DKV3WVV2Z9,,Vx1-2,interview,22.01.24 11:46,1,0,4,4,0,0,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,04.05.18,2,2,09.08.20,3,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,MTB1,DKV3WVV2Z9,,,,,,,,,,,,,,,,,,,
1894,MKV2PYN5YL,,Vx1-2,interview,22.01.24 11:48,1,0,3,3,0,0,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,MKV2PYN5YL,,,,,,,,,,,,,,,,,,,
1895,QWTSG1VNF6,,Vx1-2,interview,22.01.24 11:51,1,0,3,3,0,0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-1,1,1,1,2,4,3,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,QWTSG1VNF6,,,,,,,,,,,,,,,,,,,
1896,29CKTUVY2B,,Vx1-2,interview,22.01.24 11:51,1,0,3,3,0,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,29CKTUVY2B,,,,,,,,,,,,,,,,,,,
1897,1KGW5NWVQW,,Vx1-2,interview,22.01.24 11:55,0,0,0,1,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,1KGW5NWVQW,,,,,,,,,,,,,,,,,,,
1898,6XRFY17ZX1,,Vx1-2,interview,22.01.24 11:55,1,0,4,4,0,0,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,-1,1,1,1,1,4,1,1,3,1,1,1,1,26.12.17,1,2,29.04.19,2,2,-1,1,1,1,1,4,1,1,3,1,1,1,1,1,MTB1,6XRFY17ZX1,,,,,,,,,,,,,,,,,,,
1914,SKXUT5APM6,,Vx1-2,interview,25.01.24 12:14,1,0,3,3,0,0,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,SKXUT5APM6,,,,,,,,,,,,,,,,,,,
1915,6E7D3DC8DN,,V0-2,interview,25.01.24 12:16,0,0,0,1,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,6E7D3DC8DN,,,,,,,,,,,,,,,,,,,
1926,M6TULWKSK6,,Vx2-2,interview,26.01.24 09:01,1,0,3,3,0,0,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,2,1,1,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,MTB1,M6TULWKSK6,,,,,,,,,,,,,,,,,,,
1950,UUX8E1LZUH,,Vx2-2,interview,26.01.24 09:41,1,0,3,3,0,0,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-1,1,1,1,2,4,3,2,3,1,3,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,UUX8E1LZUH,,,,,,,,,,,,,,,,,,,
1952,ZVBU9M31CS,,Vx2-2,interview,26.01.24 09:49,1,0,3,3,0,0,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,5,1,1,1,1,1,1,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,ZVBU9M31CS,,,,,,,,,,,,,,,,,,,
1966,UDSNMPZQM9,,Vx2-2,interview,26.01.24 10:39,1,0,3,3,0,0,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,UDSNMPZQM9,,,,,,,,,,,,,,,,,,,
1974,UDSNMPZQM9,,Vx1-2,interview,26.01.24 11:56,1,0,3,3,0,0,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,UDSNMPZQM9,,,,,,,,,,,,,,,,,,,
1975,SKXUT5APM6,,Vx2-2,interview,26.01.24 12:01,1,0,3,3,0,0,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,SKXUT5APM6,,,,,,,,,,,,,,,,,,,
1986,X48F9ZNF4L,,Vx2-2,interview,26.01.24 13:04,1,0,3,3,0,0,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,2,1,1,1,1,1,1,1,1,1,3,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,X48F9ZNF4L,,,,,,,,,,,,,,,,,,,
1987,DKV3WVV2Z9,,Vx2-2,interview,26.01.24 13:10,1,0,4,4,0,0,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,-1,1,1,1,1,2,1,1,1,1,1,1,1,09.08.20,3,2,04.05.18,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,MTB1,DKV3WVV2Z9,,,,,,,,,,,,,,,,,,,
1992,29CKTUVY2B,,Vx2-2,interview,26.01.24 14:28,1,0,3,3,0,0,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,-1,1,1,1,1,1,1,1,1,1,3,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,29CKTUVY2B,,,,,,,,,,,,,,,,,,,
2001,M3HNN9Y7BD,,Vx2-2,interview,26.01.24 16:05,1,0,3,3,0,0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,3,2,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,M3HNN9Y7BD,,,,,,,,,,,,,,,,,,,
2003,A3ER5WF9RA,,Vx2-2,interview,26.01.24 17:33,1,0,3,3,0,0,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,A3ER5WF9RA,,,,,,,,,,,,,,,,,,,
2027,QWTSG1VNF6,,Vx2-2,interview,27.01.24 09:38,1,0,3,3,0,0,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,3,2,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,QWTSG1VNF6,,,,,,,,,,,,,,,,,,,
2036,MPHWBPTKDP,,Vx2-2,interview,27.01.24 13:25,1,0,3,3,0,0,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,3,2,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,MPHWBPTKDP,,,,,,,,,,,,,,,,,,,
2041,6XRFY17ZX1,,Vx2-2,interview,27.01.24 18:15,1,0,4,4,0,0,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,-1,1,1,1,1,3,2,1,3,1,1,2,1,26.12.17,1,2,29.04.19,2,-1,-1,1,1,1,1,3,2,1,3,1,1,2,1,1,MTB1,6XRFY17ZX1,,,,,,,,,,,,,,,,,,,
2054,QFE54ZVSHT,,Vx2-2,interview,28.01.24 10:33,1,0,3,3,0,0,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,QFE54ZVSHT,,,,,,,,,,,,,,,,,,,
2055,9T35TEMSAS,,Vx2-2,interview,28.01.24 17:19,1,0,4,4,0,0,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,-1,1,1,3,1,1,1,1,3,1,1,1,1,04.08.17,2,2,18.09.20,3,-1,-1,1,1,1,1,2,1,1,2,1,1,1,1,1,MTB1,9T35TEMSAS,,,,,,,,,,,,,,,,,,,
2063,86KRD4SMWZ,,Vx2-2,interview,29.01.24 11:31,1,0,3,3,0,0,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,2,2,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,86KRD4SMWZ,,,,,,,,,,,,,,,,,,,
2066,MKV2PYN5YL,,Vx2-2,interview,29.01.24 23:39,1,0,3,3,0,0,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,MKV2PYN5YL,,,,,,,,,,,,,,,,,,,
2078,DKV3WVV2Z9,,Vx3-2,interview,02.02.24 09:00,1,0,4,4,0,0,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,09.08.20,3,2,04.05.18,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,MTB1,DKV3WVV2Z9,,,,,,,,,,,,,,,,,,,
2108,SKXUT5APM6,,Vx3-2,interview,02.02.24 09:40,1,0,3,3,0,0,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-1,1,1,1,1,3,1,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,MTB1,SKXUT5APM6,,,,,,,,,,,,,,,,,,,
2118,M6TULWKSK6,,Vx3-2,interview,02.02.24 10:00,1,0,3,3,0,0,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,M6TULWKSK6,,,,,,,,,,,,,,,,,,,
2121,M3HNN9Y7BD,,Vx3-2,interview,02.02.24 10:12,1,0,3,3,0,0,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-1,1,1,1,1,3,1,1,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,M3HNN9Y7BD,,,,,,,,,,,,,,,,,,,
2122,ZVBU9M31CS,,Vx3-2,interview,02.02.24 10:12,1,0,3,3,0,0,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,ZVBU9M31CS,,,,,,,,,,,,,,,,,,,
2131,TKA99XBQW7,,Vx3-2,interview,02.02.24 10:54,1,0,3,3,0,0,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,TKA99XBQW7,,,,,,,,,,,,,,,,,,,
2132,TKA99XBQW7,,Vx2-2,interview,02.02.24 10:55,1,0,3,3,0,0,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,TKA99XBQW7,,,,,,,,,,,,,,,,,,,
2142,29CKTUVY2B,,Vx3-2,interview,02.02.24 12:09,1,0,3,3,0,0,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,29CKTUVY2B,,,,,,,,,,,,,,,,,,,
2157,MPHWBPTKDP,,Vx3-2,interview,02.02.24 13:32,1,0,3,3,0,0,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,2,1,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,MPHWBPTKDP,,,,,,,,,,,,,,,,,,,
2176,86KRD4SMWZ,,Vx3-2,interview,02.02.24 18:28,1,0,3,3,0,0,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,86KRD4SMWZ,,,,,,,,,,,,,,,,,,,
2178,9T35TEMSAS,,Vx3-2,interview,02.02.24 20:02,1,0,4,4,0,0,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,1,1,1,1,1,2,1,1,1,1,1,1,1,04.08.17,2,2,18.09.20,3,1,1,1,1,1,1,3,1,1,1,1,2,1,2,1,MTB1,9T35TEMSAS,,,,,,,,,,,,,,,,,,,
2187,6XRFY17ZX1,,Vx3-2,interview,03.02.24 09:23,1,0,4,4,0,0,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,26.12.17,1,2,29.04.18,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,MTB1,6XRFY17ZX1,,,,,,,,,,,,,,,,,,,
2191,QFE54ZVSHT,,Vx3-2,interview,03.02.24 09:54,1,0,3,3,0,0,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,QFE54ZVSHT,,,,,,,,,,,,,,,,,,,
2196,QWTSG1VNF6,,Vx3-2,interview,03.02.24 10:21,1,0,3,3,0,0,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,2,2,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,QWTSG1VNF6,,,,,,,,,,,,,,,,,,,
2205,MKV2PYN5YL,,Vx3-2,interview,03.02.24 22:09,1,0,3,3,0,0,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,1,1,1,1,1,3,1,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,MKV2PYN5YL,,,,,,,,,,,,,,,,,,,
2209,X48F9ZNF4L,,Vx3-2,interview,04.02.24 09:33,1,0,3,3,0,0,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,4,1,1,1,1,1,1,1,1,1,4,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,X48F9ZNF4L,,,,,,,,,,,,,,,,,,,
2211,A3ER5WF9RA,,Vx3-2,interview,04.02.24 13:34,1,0,3,3,0,0,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,1,1,1,1,2,3,3,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,A3ER5WF9RA,,,,,,,,,,,,,,,,,,,
2214,UDSNMPZQM9,,Vx3-2,interview,05.02.24 00:27,1,0,3,3,0,0,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,UDSNMPZQM9,,,,,,,,,,,,,,,,,,,
2220,UUX8E1LZUH,,Vx3-2,interview,06.02.24 18:06,1,0,3,3,0,0,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-1,1,1,1,1,3,2,2,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,MTB1,UUX8E1LZUH,,,,,,,,,,,,,,,,,,,
